Date (LT),AQI
2/4/2023 0:00,5
2/4/2023 1:00,5
2/4/2023 2:00,5
2/4/2023 3:00,5
2/4/2023 4:00,5
2/4/2023 5:00,5
2/4/2023 6:00,5
2/4/2023 7:00,5
2/4/2023 8:00,5
2/4/2023 9:00,5
2/4/2023 10:00,5
2/4/2023 11:00,5
2/4/2023 12:00,5
2/4/2023 13:00,5
2/4/2023 14:00,5
2/4/2023 15:00,5
2/4/2023 16:00,5
2/4/2023 17:00,5
2/4/2023 18:00,5
2/4/2023 19:00,5
2/4/2023 20:00,5
2/4/2023 21:00,5
2/4/2023 22:00,5
2/4/2023 23:00,5
2/5/2023 0:00,5
2/5/2023 1:00,5
2/5/2023 2:00,5
2/5/2023 3:00,5
2/5/2023 4:00,5
2/5/2023 5:00,5
2/5/2023 6:00,5
2/5/2023 7:00,5
2/5/2023 8:00,5
2/5/2023 9:00,5
2/5/2023 10:00,5
2/5/2023 11:00,5
2/5/2023 12:00,5
2/5/2023 13:00,5
2/5/2023 14:00,5
2/5/2023 15:00,5
2/5/2023 16:00,5
2/5/2023 17:00,5
2/5/2023 18:00,5
2/5/2023 19:00,5
2/5/2023 20:00,5
2/5/2023 21:00,5
2/5/2023 22:00,5
2/5/2023 23:00,5
2/6/2023 0:00,5
2/6/2023 1:00,5
2/6/2023 2:00,5
2/6/2023 3:00,5
2/6/2023 4:00,5
2/6/2023 5:00,5
2/6/2023 6:00,5
2/6/2023 7:00,5
2/6/2023 8:00,5
2/6/2023 9:00,5
2/6/2023 10:00,5
2/6/2023 11:00,5
2/6/2023 12:00,5
2/6/2023 13:00,3
2/6/2023 14:00,3
2/6/2023 15:00,3
2/6/2023 16:00,3
2/6/2023 17:00,3
2/6/2023 18:00,3
2/6/2023 19:00,4
2/6/2023 20:00,4
2/6/2023 21:00,5
2/6/2023 22:00,5
2/6/2023 23:00,5
2/7/2023 0:00,5
2/7/2023 1:00,4
2/7/2023 2:00,4
2/7/2023 3:00,3
2/7/2023 4:00,3
2/7/2023 5:00,3
2/7/2023 6:00,3
2/7/2023 7:00,3
2/7/2023 8:00,4
2/7/2023 9:00,4
2/7/2023 10:00,4
2/7/2023 11:00,4
2/7/2023 12:00,4
2/7/2023 13:00,4
2/7/2023 14:00,4
2/7/2023 15:00,4
2/7/2023 16:00,5
2/7/2023 17:00,5
2/7/2023 18:00,5
2/7/2023 19:00,5
2/7/2023 20:00,5
2/7/2023 21:00,5
2/7/2023 22:00,5
2/7/2023 23:00,5
2/8/2023 0:00,5
2/8/2023 1:00,5
2/8/2023 2:00,5
2/8/2023 3:00,5
2/8/2023 4:00,5
2/8/2023 5:00,5
2/8/2023 6:00,5
2/8/2023 7:00,5
2/8/2023 8:00,5
2/8/2023 9:00,5
2/8/2023 10:00,5
2/8/2023 11:00,5
2/8/2023 12:00,5
2/8/2023 13:00,5
2/8/2023 14:00,5
2/8/2023 15:00,5
2/8/2023 16:00,5
2/8/2023 17:00,5
2/8/2023 18:00,5
2/8/2023 19:00,5
2/8/2023 20:00,5
2/8/2023 21:00,5
2/8/2023 22:00,5
2/8/2023 23:00,5
